Albrecht Präzision GmbH & Co. KG	Albrecht Präzision GmbH & Co. KG	Antoniusstr. 25	Moritz Kächele	Uwe Rolf
Allmendinger Elektromechanik KG	Allmendinger Elektromechanik KG	Robert-Bosch-Str. 24-26	Daniel Allmendinger	Nadine Allmendinger
alphacam GmbH	alphacam GmbH	Erlenwiesen 16	Dr. Hartmut Diedenhoven	<Not Found>
ALZMETALL Werkzeugmaschinenfabrik und Gießerei Friedrich GmbH & Co. KG	Alzmetall Werkzeugmaschinenfabrik und Gießerei Friedrich - GmbH & Co. KG	Harald-Friedrich-Str. 2-8	Rudolf Wallisch	Ludwig Probst
Apfel GmbH	Apfel GmbH	Gerhart-Hauptmann-Str. 56	Dirk Böcker	<Not Found>
Baublies AG	Baublies AG	Brunnenfeldstr. 42	Thomas Kappel	<Not Found>
Bedrunka+Hirth Gerätebau GmbH	Bedrunka & Hirth Gerätebau GmbH	Gießnau 8	Friedrich Kellner	<Not Found>
Bessey Tool GmbH & Co. KG	BESSEY Tool GmbH & Co. KG	Mühlwiesenstr. 40	Carsten Spang	Rainer Steinle
CHIRON Group SE	CHIRON Group SE	Kreuzstr. 75	Dr. Claus Eppler	Jörg Seifermann
CHIRON WERKE GmbH & Co. KG	<Not Found>	<Not Found>	<Not Found>	<Not Found>
D&M Werkzeugmaschinen GmbH	D&M Werkzeugmaschinen GmbH	Zeppelinstr. 15	Karin Stigler	<Not Found>
E. Zoller GmbH & Co. KG	E. ZOLLER GmbH & Co. KG Einstell- und Messgeräte	Gottlieb-Daimler-Str. 19	Peter Hunke	<Not Found>
ERBO GmbH	ERBO Fahrzeugteile GmbH	Hattingerstr. 805	Hartmund Erichson	<Not Found>
EVO Informationssysteme GmbH	EVO Informationssysteme GmbH	Ludwig-Bölkow-Str. 15	Heiko Betzler	Antje Widmann
Fauser AG	Fauser AG	Talhofstr. 30	Christine Fauser	<Not Found>
Fritz Hartmann GmbH & Co. KG	Fritz Hartmann Präzisionswerkzeuge GmbH & Co KG	Benzstr. 45	Hans Junginger	Isa Hartmann
GEWEFA Josef C. Pfister GmbH & Co. KG	GEWEFA JOSEF C. PFISTER GmbH & Co. KG	Josef-Mayer-Str. 50	Josef Norbert Schmid	Beate Pfister
GROB-WERKE GmbH & Co. KG	GROB-WERKE GmbH & Co. KG	Industriestr. 4	Robert Schmalholz	Johann Silvester Müller
Haberland Zerspanungstechnik Industriewerkzeughandel	Haberland Zerspanungstechnik Industriewerkzeughandel e. Kfm.	Neckarstr. 11	Falk Haberland	<Not Found>
HAWE Hydraulik SE	HAWE Hydraulik SE	Einsteinring 17	Stefan Schmid	Gerhard Trappe
HTT Tiefbohrtechnik GmbH	HTT Tiefbohrtechnik GmbH	Gutenbergstr. 38A	Marcus Genkinger	<Not Found>
